Reference;Qty;Value;Comment;Link
C1,C2,C3,C6,C7,C10,C11,C12,C14,C16,C18,C20,C22,C24,C25,C26,C27,C29,C30;19;K104K10X7RF5UL2;100nF cŽramique X7R 10% 2.54mm;https://www.tme.eu/fr/details/k104k10x7rf5ul2/condensateurs-en-ceramique/vishay/
C4,C5,C8,C9,C13,C17,C19,C21,C23,C28,C31,C32;12;FG20X7R1H106KRT06;10µF cŽramique mlcc X7R 10% 5.1mm;https://www.tme.eu/fr/details/fg20x7r1h106krt06/condensateurs-mlcc-tht/tdk/
C15;1;ECA1EHG471B;470µF Žlectrolytique 25V;https://www.tme.eu/fr/details/eca1ehg471b/condensateurs-electrolytiques-tht/panasonic/
D1;1;1N5245B;"Diode: Zener; 0,5W; 15V";https://www.tme.eu/fr/details/1n5245btr/diodes-zener-tht/onsemi/
D2,D3,D4,D6,D7;5;1N5819;"Diode: redressement Schottky; THT; 40V; 1A; DO15; Ufmax: 900mV";https://www.tme.eu/fr/details/1n5819-dio/diodes-schottky-tht/diotec-semiconductor/1n5819/
D5;1;P6KE13A;;https://www.tme.eu/fr/details/p6ke13a-dio/diodes-unidirectionnelles-tvs-tht/diotec-semiconductor/p6ke13a/
F1;1;30R185UU;Fusible PPTC 30VDC courant maintien 1.85A THT 5.1mm;https://fr.farnell.com/littelfuse/30r185uu/polyfuse-ptc-radial-1-85a/dp/1822236
FB1,FB2;2;BBPY00321611601Y00;;https://www.tme.eu/fr/details/bbpy00321611601y00/ferrites-perles/pulse/
J1,J2,J5,J8,J9,J14;6;DG301-5.0-02P-12-00A;;https://www.tme.eu/fr/details/dg301-5.0-2p12/blocs-de-bornes-dimpression/degson-electronics/dg301-5-0-02p-12-00a-h/
J3,J6,J11,J12,J13;5;DS1002-03-1*20131;Pour connecteur ESP32, module RTC, module pH, module ORPÉ;https://www.tme.eu/fr/details/zl307-1x20/batis-de-prises-et-prises-de-courant/connfly/ds1002-03-1-20131/
J4;1;DG301-5.0-03P-12-00AH;Connecteur JST 3P;
J7,J10;2;B6252HB-NPP3G-50;;https://www.tme.eu/fr/details/b6252hb-npp3g-50/connecteurs-bnc/amphenol-rf/
Q1,Q2,Q4,Q6,Q7;5;IRLZ44NPBF;"Transistor: N-MOSFET; unipolaire; 55V; 41A; 83W; TO220AB";https://www.tme.eu/fr/details/irlz44npbf/transistors-tht-a-canal-n/infineon-technologies/
