"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C6,C7,C10,C11,C12,C14,C16,C18,C20","12","100nF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C4,C5,C8,C9,C13,C17,C19","7","10 µF","","","","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm","~"
"C15","1","470µF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"D2,D4,D6,D7","4","1N5819","","","","Diode_THT:D_DO-15_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D5","1","P6KE13A","","","","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"F1","1","FX200-16","","","","Fuse:Fuse_Bourns_MF-RHT200",""
"H1,H2,H3,H4","4","MountingHole","","Exclure de la Liste du Matériel","","MountingHole:MountingHole_3.2mm_M3","~"
"J1,J2","2","Pompe Péristaltique","","","","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","~"
"J4","1","Sonde température DS18B20","","","","TerminalBlock_Altech:Altech_AK100_1x03_P5.00mm","~"
"J5","1","Contacteur Puissance Filtration","","","","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","~"
"J6,J7","2","Conn_01x03","","","","TerminalBlock_Altech:Altech_AK100_1x03_P5.00mm","~"
"J8","1","Contacteur Puissance Eclairage","","","","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","~"
"J9","1","Alimentation 12V (2A min)","","","","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","~"
"Q2,Q4,Q6,Q7","4","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"Q5","1","IRF4905","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
"R1,R4,R7,R13,R15","5","100Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","2.2kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","10kΩ","","","","","~"
"R5,R8,R10,R12,R14,R16","6","10KΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","4.7KΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11","1","10Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","ESP32-DevKitC","","","","Espressif:ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html"
"U3","1","D24V10F3","","","","MyLibrary:Pololu_D24V10F3",""
